latitude,longitude,site,landcover
-18.066783008907038,33.158131094843675,Catandica,Cropland irrigated 2
-18.017261808351183,33.24225475023415,Catandica,Cropland irrigated 2
-18.095404260577595,33.18943218133803,Catandica,Cropland irrigated 2
-18.095803392025022,33.18877917649442,Catandica,Cropland irrigated 2
-18.096996503501767,33.188092179134664,Catandica,Cropland irrigated 2
-18.093622957154324,33.29731878468964,Catandica,Cropland irrigated 2
-18.092889977803246,33.29743720452939,Catandica,Cropland irrigated 2
-18.915890047581062,33.1318965185399,Manica,Cropland irrigated 2
-18.91445271994525,33.118223167062204,Manica,Cropland irrigated 2
-18.91579823180171,33.12056688764071,Manica,Cropland irrigated 2
-18.91137881915729,33.11158133424933,Manica,Cropland irrigated 2
-18.931879555125835,33.12242410019412,Manica,Cropland irrigated 2
-18.931461164744384,33.12237426817517,Manica,Cropland irrigated 2
-18.9313262300669,33.12280963789413,Manica,Cropland irrigated 2
-18.93191225649946,33.12541126242748,Manica,Cropland irrigated 2
-18.931782627953915,33.12505362834266,Manica,Cropland irrigated 2
-18.933150961719228,33.12550218494334,Manica,Cropland irrigated 2
-18.933102976981527,33.12431997558928,Manica,Cropland irrigated 2
-18.931649180670863,33.12577963179264,Manica,Cropland irrigated 2
-18.936325698551578,33.12973573446115,Manica,Cropland irrigated 2
-18.93550199468768,33.13028301029834,Manica,Cropland irrigated 2
-18.935619717703783,33.129679385947426,Manica,Cropland irrigated 2
-18.935662414945693,33.12884682119811,Manica,Cropland irrigated 2
-18.94152240913724,33.13053787170796,Manica,Cropland irrigated 2
-18.93951304128435,33.132095002706954,Manica,Cropland irrigated 2
-18.940545185620778,33.131799817518406,Manica,Cropland irrigated 2
-18.941114774850192,33.13168525319721,Manica,Cropland irrigated 2
-19.011837768731873,33.149529398122795,Manica,Cropland irrigated 2
-19.010052110032767,33.15060673833312,Manica,Cropland irrigated 2
-19.007623003035842,33.15076506846212,Manica,Cropland irrigated 2
-24.440681067187768,32.936992665871074,Chokwe,Cropland irrigated 2
-24.438914082062517,32.94103051408893,Chokwe,Cropland irrigated 2
-24.43885208385662,32.94361224453526,Chokwe,Cropland irrigated 2
-24.437912021540228,32.94739686881776,Chokwe,Cropland irrigated 2
-24.43850934603614,32.948229796360074,Chokwe,Cropland irrigated 2
-24.465698359761124,32.94342768958507,Chokwe,Cropland irrigated 2
-24.46706209632043,32.94530157675297,Chokwe,Cropland irrigated 2
-24.465331536192075,32.94664443193606,Chokwe,Cropland irrigated 2
-24.46465157117188,32.94715976777851,Chokwe,Cropland irrigated 2
-24.467244348390146,32.94587964258028,Chokwe,Cropland irrigated 2
-24.466119172558727,32.94071733640807,Chokwe,Cropland irrigated 2
-24.467514300610222,32.94040430685244,Chokwe,Cropland irrigated 2
-24.466777812168317,32.94865143069615,Chokwe,Cropland irrigated 2
-24.467862716305458,32.94760242239348,Chokwe,Cropland irrigated 2
-24.472732330647524,32.93336732314859,Chokwe,Cropland irrigated 2
-24.469705949104846,32.938786591318646,Chokwe,Cropland irrigated 2
-24.46907807342696,32.940811469791385,Chokwe,Cropland irrigated 2
-24.485367957710675,32.95924216557899,Chokwe,Cropland irrigated 2
-24.48609206239293,32.96692199671219,Chokwe,Cropland irrigated 2
-24.48376858201558,32.97301969572203,Chokwe,Cropland irrigated 2
-24.48717309998961,32.978031079668526,Chokwe,Cropland irrigated 2
-24.49400632420044,32.96325074888389,Chokwe,Cropland irrigated 2
-24.49635280006441,32.972831798700966,Chokwe,Cropland irrigated 2
-24.49742783444891,32.95914586397225,Chokwe,Cropland irrigated 2
-24.495253230842295,32.950891939557195,Chokwe,Cropland irrigated 2
